Season,Games played,Champion,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,Opp FT/FGA,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Opp ORB%
2007,6,True,-0.066,0.553,-0.454,0.723,-0.164,-0.112,-0.076,-0.417,-0.078,1.717,-0.087,-0.206,-1.027,-1.047,-1.305,-0.006,0.983,0.095,-2.204
2007,5,False,2.72,2.015,1.903,1.194,2.229,1.302,5.374,5.486,3.917,1.232,-1.728,1.182,0.376,0.45,0.123,5.924,5.285,0.112,-1.771
2008,7,True,-3.41,-2.449,-3.936,-1.532,-1.838,-2.526,1.71,-0.31,1.511,-2.616,0.897,2.885,-1.605,-1.597,-0.352,0.524,-0.397,-0.539,0.203
2008,5,False,-1.917,-1.418,-0.661,0.381,-2.145,-3.053,-5.077,-0.033,0.943,2.232,2.108,-0.923,-0.77,-0.835,-3.502,-5.686,-0.525,-0.505,0.912
2008,6,False,1.757,2.037,2.576,2.789,2.507,1.357,0.862,-1.662,6.429,-0.591,-1.433,1.39,-0.353,-0.347,1.328,1.895,-4.692,-0.475,5.815
2008,7,False,-1.819,-1.034,-1.245,0.452,-0.447,0.063,0.225,-1.385,-1.856,-0.529,-3.762,-1.35,-1.243,-1.262,0.348,3.428,-0.621,-0.528,-1.215
2009,4,False,-1.106,-5.514,4.101,-4.411,1.865,2.479,1.51,4.562,0.943,-4.903,-0.639,-0.989,5.431,4.816,4.127,1.882,5.428,-0.372,-0.725
2009,7,False,-1.196,-1.471,-1.603,-1.748,-0.301,-0.138,-0.323,-2.737,0.564,-1.22,0.274,0.844,0.319,0.299,0.617,-0.538,-1.666,-0.393,-1.593
2009,7,True,-0.623,-1.803,-0.713,-2.425,-1.78,-1.283,-1.617,0.499,-0.911,-1.533,1.916,-0.318,1.3,1.288,0.172,-3.226,0.859,-0.397,-0.418
2009,5,False,4.41,3.085,6.351,3.196,4.804,4.032,-2.48,-1.195,4.693,2.542,0.182,4.777,1.36,1.453,0.75,-2.24,-1.185,-0.389,-0.112
2010,6,False,-0.17,-0.722,-0.24,-1.23,-0.193,-0.26,-0.876,-1.705,1.108,-1.171,2.084,5.875,0.71,0.721,0.135,-2.405,0.63,-0.376,-2.215
2010,4,False,1.609,-5.03,4.955,-4.924,4.434,5.214,-0.978,0.457,1.147,-12.735,-2.316,0.853,10.762,9.948,8.91,1.137,0.78,-0.341,-0.471
2010,4,True,2.132,1.497,3.53,3.627,1.484,1.058,-1.899,4.527,1.729,-0.878,-2.902,0.563,1.686,1.644,1.261,0.896,0.981,-0.335,2.904
2010,4,False,2.185,0.942,2.041,0.338,1.983,1.869,-0.467,-1.769,0.953,2.635,-0.947,1.102,2.449,2.52,0.886,0.413,0.831,-0.344,-2.496
2011,6,False,-1.993,-2.775,-0.089,-1.79,-1.396,-1.209,-1.665,1.707,-1.529,-1.898,-1.256,-0.329,1.47,1.277,0.387,0.145,3.089,-0.61,-2.154
2011,5,False,-1.289,-1.46,-0.499,-0.945,0.13,-0.94,1.887,-0.288,3.302,1.336,1.615,0.589,0.411,0.339,-1.419,-0.319,2.843,-0.57,-4.929
2011,4,True,0.51,-2.13,2.938,-1.905,3.936,4.567,1.591,-1.916,-0.92,-3.022,-1.83,-2.775,4.017,3.805,4.771,2.308,-3.269,-0.59,2.105
2011,7,False,0.849,0.675,0.279,0.091,0.014,-1.074,2.183,2.277,2.237,-4.147,-2.405,2.852,0.147,0.194,1.848,3.08,-0.192,-0.593,3.912
2012,6,True,-0.949,-1.862,-0.133,-1.498,-0.351,-0.778,-0.964,-0.065,1.496,-2.295,0.957,1.713,1.407,1.322,1.241,-1.447,-0.761,-0.281,1.921
