Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Actual Wins (%),Team TS%,Opp TS%
2014,OKC,LAC,6,107.2,106.3,112.6,111.7,52.4,50.0,14.3,9.7,28.0,24.5,30.5,19.5,False,66.667,58.1964,53.2839
2015,CLE,CHI,6,96.7,91.2,110.5,104.2,48.9,44.3,11.6,10.2,27.9,27.1,23.4,19.8,False,66.667,53.8193,49.12
2015,ATL,WAS,6,97.8,95.0,103.3,100.3,47.7,46.5,13.0,13.2,25.3,26.7,18.0,17.2,False,66.667,51.5382,49.9019
2015,HOU,LAC,7,109.4,112.6,106.2,109.2,50.5,52.1,13.7,12.1,25.1,21.2,29.9,25.7,False,57.143,54.2493,55.7821
2015,GSW,MEM,6,97.8,89.8,106.5,97.8,54.2,43.9,16.6,12.6,23.4,25.2,17.3,20.0,True,66.667,56.8975,48.6357
2016,CLE,ATL,4,112.0,99.5,122.0,108.4,57.3,51.5,12.2,13.3,31.0,22.8,16.0,19.4,True,100.0,58.9536,55.4503
2016,TOR,MIA,7,97.1,94.6,104.0,101.3,47.0,48.4,11.5,13.7,23.2,21.9,22.4,21.9,False,57.143,51.1987,52.8957
2016,GSW,POR,5,118.6,114.2,117.1,112.8,54.8,50.1,11.3,11.0,25.8,24.2,22.5,23.4,False,80.0,58.9323,54.3892
2016,OKC,SAS,6,100.8,101.3,107.5,108.1,49.7,49.9,13.7,9.7,28.0,18.9,24.6,17.1,False,66.667,54.6898,53.3184
2017,CLE,TOR,4,116.3,101.0,119.6,103.9,59.3,49.1,13.1,10.1,18.2,14.6,27.7,16.8,False,100.0,63.6847,52.8464
2017,BOS,WAS,7,110.3,109.3,114.1,113.1,55.3,50.8,12.6,12.7,21.4,30.0,22.8,22.0,False,57.143,59.0395,54.9569
2017,GSW,UTA,4,111.0,96.0,115.5,99.9,54.5,47.3,10.1,11.4,16.8,15.1,23.6,21.1,True,100.0,59.1937,51.4249
2017,SAS,HOU,6,108.5,103.5,112.9,107.7,51.2,51.5,10.9,12.4,30.3,20.7,16.6,17.4,False,66.667,53.9515,54.758
2018,BOS,PHI,5,106.4,103.4,109.9,106.8,52.2,47.3,10.9,11.6,17.7,28.7,23.0,20.8,False,80.0,56.2891,51.4366
2018,CLE,TOR,4,118.5,104.5,126.4,111.5,58.2,53.1,7.6,13.1,20.4,25.2,19.5,22.1,False,100.0,61.0573,57.1663
2018,GSW,NOP,5,115.0,106.4,108.5,100.4,51.6,49.8,11.3,12.7,19.0,16.9,19.7,12.9,True,80.0,55.4377,52.4324
2018,HOU,UTA,5,108.6,98.6,111.1,100.8,52.3,51.8,10.3,15.0,17.1,15.9,20.5,17.4,False,80.0,56.5389,54.4968
2019,MIL,BOS,5,113.0,104.4,109.1,100.8,51.4,47.3,10.8,12.2,18.9,15.1,21.6,24.9,False,80.0,54.8842,52.7656
2019,TOR,PHI,7,101.6,98.9,107.0,104.1,49.5,49.1,11.0,15.4,18.9,23.5,23.6,24.5,True,57.143,54.3279,54.1268
2019,GSW,HOU,6,111.7,109.8,114.7,112.8,53.6,54.6,12.4,14.8,25.1,26.5,21.3,22.4,False,66.667,57.3277,58.3392
2019,POR,DEN,7,111.3,113.1,112.6,114.5,49.2,47.7,9.4,8.9,26.0,31.0,21.5,25.7,False,57.143,53.19,53.1487
2020,BOS,TOR,7,105.0,99.7,105.4,100.1,52.3,48.4,14.4,12.5,17.6,15.9,22.1,17.7,False,57.143,56.4273,52.0429
2020,MIA,MIL,5,112.8,106.0,114.8,107.9,55.0,50.1,14.0,11.9,19.5,22.8,28.8,22.7,False,80.0,60.4787,54.086
